trade_date,pe,pb,div_yield,close
2016-03-18,38.3471,2.9066,0.8847,4960.6237
2016-03-25,39.2224,2.9551,0.8641,5078.4637
2016-04-01,40.2907,2.9823,0.8568,5140.6142
2016-04-08,40.4536,2.9931,0.8507,5168.6126
2016-04-15,42.6055,3.0916,0.8151,5371.3826
2016-04-22,40.3530,2.9138,0.8582,5044.5887
2016-04-29,41.0646,2.8916,0.8762,5050.1743
2016-05-06,40.8754,2.8699,0.8870,5032.0404
2016-05-13,39.1709,2.7501,0.9215,4786.7411
2016-05-20,39.2636,2.7527,0.9366,4800.2329
2016-05-27,39.4063,2.7596,0.9279,4817.6038
2016-06-03,41.4972,2.9067,0.8846,5109.0693
2016-06-08,41.5044,2.8997,0.9111,5110.6114
2016-06-17,41.0712,2.8703,0.8757,5061.5693
2016-06-24,40.8689,2.8558,0.8760,5029.2193
2016-07-01,42.3204,2.9556,0.8646,5216.7809
2016-07-08,43.4656,3.0369,0.9459,5365.3154
2016-07-15,44.2994,3.1000,0.9089,5476.8232
2016-07-22,43.8652,3.0637,0.9230,5420.4470
2016-07-29,42.5671,2.9731,0.9267,5237.7247
2016-08-05,42.4634,2.9650,0.9339,5239.7488
2016-08-12,43.0238,3.0115,0.9217,5331.4784
2016-08-19,44.0719,3.1057,0.8917,5524.0160
2016-08-26,43.3444,3.0452,0.8950,5453.5844
2016-09-02,43.2715,3.0218,0.8987,5422.3332
2016-09-09,43.8010,3.0516,0.8869,5499.5414
2016-09-14,42.7391,2.9743,0.9091,5352.5698
2016-09-23,43.3468,3.0099,0.8968,5433.8084
2016-09-30,43.0838,2.9799,0.9104,5390.4055
2016-10-14,44.3094,3.0570,0.8789,5541.2444
2016-10-21,44.3115,3.0765,0.8671,5574.5427
2016-10-28,42.3166,3.0444,0.8655,5578.3450
2016-11-04,41.1315,3.0380,0.8581,5613.9659
2016-11-11,42.0752,3.1065,0.8404,5731.2137
2016-11-18,42.1867,3.1125,0.8317,5749.3053
2016-11-25,42.7021,3.1463,0.8201,5811.4992
2016-12-02,42.1185,3.1006,0.8328,5732.0202
2016-12-09,41.8489,3.0744,0.8400,5699.2479
2016-12-16,40.4054,2.9693,0.8702,5510.5958
2016-12-23,40.2360,2.9487,0.8663,5472.9847
2016-12-30,40.2888,2.9399,0.8639,5475.0699
2017-01-06,40.9094,2.9732,0.8498,5555.0245
2017-01-13,39.7779,2.8859,0.8725,5400.2639
2017-01-20,39.5212,2.8785,0.8746,5349.2436
2017-01-26,40.1749,2.9250,0.8567,5423.7567
2017-02-03,40.0420,2.9151,0.8594,5406.2561
2017-02-10,40.6504,2.9693,0.8428,5527.2908
2017-02-17,40.2289,2.9647,0.8422,5515.5881
2017-02-24,40.8645,3.0304,0.8200,5644.7749
2017-03-03,39.5824,3.0108,0.8215,5617.1232
2017-03-10,39.7010,3.0238,0.8160,5639.6660
2017-03-17,39.9154,3.0490,0.8063,5688.1879
2017-03-24,40.2480,3.0908,0.7935,5755.6366
2017-03-31,38.5412,2.9982,0.8122,5614.0009
2017-04-07,39.2978,3.0737,0.7917,5755.5731
2017-04-14,38.2989,3.0246,0.8102,5677.1086
2017-04-21,36.7269,2.9298,0.8361,5505.0029
2017-04-28,34.4837,2.8477,0.8571,5440.4523
2017-05-05,33.1096,2.7758,0.8532,5352.4871
2017-05-12,32.1611,2.7034,0.9145,5194.8299
2017-05-19,32.7129,2.7511,0.8965,5295.3671
2017-05-26,32.0164,2.7016,0.9500,5198.8921
2017-06-02,31.7856,2.6851,0.9344,5152.3253
2017-06-09,32.8572,2.7753,0.9408,5335.3782
2017-06-16,32.8631,2.7874,1.0861,5349.3358
2017-06-23,32.9718,2.7976,1.0662,5380.6574
2017-06-30,33.4560,2.8411,1.0234,5462.9653
2017-07-07,33.7777,2.8805,1.0332,5522.1268
2017-07-14,33.2084,2.8437,1.1651,5445.2219
2017-07-21,32.8646,2.8205,1.1641,5402.2714
2017-07-28,33.0983,2.8401,1.1406,5453.9102
2017-08-04,32.9441,2.8255,1.1362,5443.5430
2017-08-11,32.6328,2.8023,1.1546,5406.1687
2017-08-18,33.3736,2.8718,1.1151,5563.6676
2017-08-25,32.9551,2.8643,1.1130,5579.8957
2017-09-01,32.4192,2.8982,1.1034,5697.5295
2017-09-08,32.6324,2.9123,1.0955,5741.0916
2017-09-15,32.7988,2.9251,1.0900,5780.7738
2017-09-22,32.7506,2.9220,1.0912,5767.7498
2017-09-29,32.8043,2.9233,1.0818,5778.0945
2017-10-13,33.4559,2.9838,1.0566,5899.8413
2017-10-20,32.8108,2.9417,1.0721,5809.1435
2017-10-27,32.0824,2.9491,1.0548,5890.1574
2017-11-03,30.2191,2.8380,1.0742,5758.5807
2017-11-10,31.1301,2.9188,1.0407,5935.2121
2017-11-17,30.0680,2.8182,1.0731,5731.5262
2017-11-24,29.5872,2.7704,1.0900,5640.8310
2017-12-01,29.5540,2.7653,1.0886,5632.6615
2017-12-08,29.1748,2.7262,1.1048,5562.7996
2017-12-15,29.3355,2.7329,1.0940,5593.7200
2017-12-22,29.4816,2.7435,1.0878,5614.1970
2017-12-29,29.5839,2.7419,1.0810,5614.3430
2018-01-05,30.3625,2.8174,1.0517,5765.0557
2018-01-12,30.4649,2.8241,1.0478,5789.3207
2018-01-19,29.8288,2.7784,1.0600,5697.9843
2018-01-26,30.4120,2.8285,1.0490,5804.5199
2018-02-02,28.7027,2.6742,1.1075,5472.2582
2018-02-09,26.2741,2.4499,1.2062,5028.0488
2018-02-14,27.1324,2.5285,1.1645,5205.2229
2018-02-23,27.8219,2.5912,1.1365,5326.2385
2018-03-02,28.5544,2.6337,1.1062,5424.3930
2018-03-09,29.3625,2.7033,1.0739,5577.9753
2018-03-16,28.9453,2.6701,1.0853,5530.9826
2018-03-23,27.3597,2.5355,1.1429,5249.3290
2018-03-30,27.7003,2.6125,1.1054,5453.6893
2018-04-04,27.2580,2.5800,1.1221,5393.6554
2018-04-13,27.2771,2.5812,1.1172,5397.1493
2018-04-20,26.2962,2.4988,1.1425,5244.5648
2018-04-27,25.6652,2.4771,1.1564,5232.9784
2018-05-04,25.6311,2.4745,1.1748,5267.5636
2018-05-11,26.1922,2.5297,1.1532,5378.4602
2018-05-18,26.2424,2.5449,1.1183,5409.8496
2018-05-25,26.0534,2.5269,1.1705,5356.3643
2018-06-01,25.2999,2.4588,1.2219,5197.3478
2018-06-08,25.3739,2.4854,1.2629,5214.5314
2018-06-15,24.6745,2.4248,1.3265,5066.9519
2018-06-22,23.3994,2.3022,1.3716,4808.1183
2018-06-29,23.3967,2.3000,1.4518,4801.7130
2018-07-06,22.3709,2.2022,1.5206,4591.1677
2018-07-13,23.2526,2.2964,1.3846,4786.2747
2018-07-20,23.0646,2.2853,1.4005,4760.5269
2018-07-27,23.2831,2.3100,1.3820,4818.4303
2018-08-03,21.7203,2.1597,1.4791,4505.9551
2018-08-10,22.0555,2.1980,1.4525,4602.7659
2018-08-17,20.8075,2.0839,1.5262,4374.2694
2018-08-24,20.7619,2.0998,1.5452,4428.7181
2018-08-31,20.5415,2.0743,1.5204,4409.8927
2018-09-07,20.3400,2.0525,1.5344,4358.2425
2018-09-14,19.9702,2.0164,1.5636,4272.6633
2018-09-21,20.6839,2.0880,1.5095,4418.7384
2018-09-28,20.7155,2.0899,1.5170,4421.9253
