date,index_code,index_name,launch_date,pe_ttm,pe_pct,div_yield,div_pct,risk_premium,risk_premium_pct,source
2026-03-31,931468,红利质量,2020-05-21,13.78,2.46,2.71,54.58,5.45,98.03,wind_app
2026-03-31,931446,东证红利低波,2020-04-21,8.51,80.33,4.41,30.51,9.94,78.23,wind_app
2026-03-31,H30269,红利低波,2013-12-19,8.51,78.71,4.44,38.32,9.93,95.89,wind_app
2026-04-10,931468,红利质量,2020-05-21,13.99,3.36,2.67,52.63,5.33,96.36,wind_app
2026-04-10,931446,东证红利低波,2020-04-21,8.38,77.39,4.48,33.89,10.12,29.05,wind_app
2026-04-10,H30269,红利低波,2013-12-19,8.33,75.35,4.53,41.84,10.19,28.39,wind_app
2026-04-25,931446,东证红利低波,2020-04-21,8.56,82.28,4.36,27.88,9.92,24.93,wind_app
2026-04-25,931468,红利质量,2020-05-21,13.97,3.55,2.78,58.59,5.40,96.66,wind_app
2026-04-25,H30269,红利低波,2013-12-19,8.56,79.30,4.36,35.37,9.92,25.63,wind_app
2026-05-01,931446,东证红利低波,2020-04-21,8.54,81.10,4.25,25.89,9.96,26.30,wind_app
2026-05-01,931468,红利质量,2020-05-21,14.25,6.11,2.75,57.53,5.27,94.80,wind_app
2026-05-01,H30269,红利低波,2013-12-19,8.58,79.39,4.19,28.76,9.91,25.63,wind_app
2026-05-16,931446,东证红利低波,2020-04-21,8.38,76.36,4.80,59.33,10.17,30.65,wind_app
2026-05-16,931468,红利质量,2020-05-21,13.58,1.31,2.87,61.49,5.60,99.17,wind_app
2026-05-16,H30269,红利低波,2013-12-19,8.35,75.15,4.85,49.34,10.21,29.25,wind_app
