period,sf_yoy,sf_bal,source
2009,,139104.0,stats.gov.cn
2010,0.8,140191.0,stats.gov.cn
2011,-8.5,128286.0,stats.gov.cn
2012,22.9,157631.0,stats.gov.cn
2013,9.9,173169.0,stats.gov.cn
2014,-8.3,158761.0,stats.gov.cn
2015,-3.0,154063.0,stats.gov.cn
2016,15.5,177999.0,stats.gov.cn
2017,46.9,261536.0,stats.gov.cn
2018,-14.0,224920.0,stats.gov.cn
2019,14.1,256735.0,stats.gov.cn
2020,35.5,347917.0,stats.gov.cn
2021,-9.9,313407.0,stats.gov.cn
2022,2.1,320101.0,stats.gov.cn
2023,11.2,355799.0,stats.gov.cn
2024,-9.3,322589.0,stats.gov.cn
2025,10.4,356000.0,stats.gov.cn
