date,pe,pb,close
2016-04-29,40.3057,7.7151,3331.1667
2016-05-06,38.9247,7.4507,3216.8633
2016-05-13,39.131,7.4809,3237.6488
2016-05-20,37.2334,7.3251,3313.3205
2016-05-27,40.1435,7.8977,3572.2857
2016-06-03,40.1153,7.8921,3569.6562
2016-06-10,41.0514,8.0763,3652.9564
2016-06-17,39.5667,7.7842,3520.8392
2016-06-24,40.6762,8.0025,3619.568
2016-06-30,41.2811,8.1215,3672.9819
2016-07-08,41.5125,8.167,3693.5672
2016-07-15,43.4527,8.5487,3866.1954
2016-07-22,43.5642,8.5706,3876.1129
2016-07-29,44.2247,8.7006,3886.4717
2016-08-05,43.8311,8.6232,3851.8856
2016-08-12,44.8373,8.8211,3940.3089
2016-08-19,44.6823,8.8867,4203.3216
2016-08-26,44.4316,8.8369,4179.7385
2016-09-02,43.8035,8.8629,4223.8925
2016-09-09,46.3179,9.3717,4466.3172
2016-09-15,45.3718,9.1802,4375.0864
2016-09-23,47.0464,9.5191,4536.5657
2016-09-30,45.8638,9.2798,4422.3895
2016-10-07,46.5615,9.4209,4489.6691
2016-10-14,45.111,9.1275,4349.7919
2016-10-20,46.2275,9.3534,4457.4435
2016-10-28,44.964,9.0977,4335.6194
2016-11-04,43.3735,8.1532,4183.3743
2016-11-11,43.0896,8.097,4176.7941
2016-11-18,39.2748,7.2028,4078.3198
2016-11-25,38.8067,7.1169,4029.6163
2016-12-02,38.414,7.0449,3984.9154
2016-12-09,37.7378,6.9209,3914.7208
2016-12-16,36.9882,6.7834,3836.9636
2016-12-23,36.1428,6.6284,3749.266
2016-12-30,38.1165,6.9903,3954.0056
2017-01-06,39.1634,7.1823,4061.835
2017-01-13,40.0173,7.339,4150.1722
2017-01-20,39.6099,7.2642,4107.6374
2017-01-27,40.8429,7.4904,4235.0177
2017-02-03,40.975,7.5146,4244.0106
2017-02-10,40.7318,7.47,4218.5747
2017-02-17,42.3454,7.7659,4385.6182
2017-02-24,42.2104,7.7411,4371.2961
2017-03-03,41.457,7.603,4291.8652
2017-03-10,42.4361,7.7825,4393.2295
2017-03-17,44.2146,8.1087,4577.3423
2017-03-24,42.9943,8.0667,4634.1409
2017-03-31,41.8975,7.9868,4575.3753
2017-04-07,42.7843,8.1558,4672.1846
2017-04-13,43.3839,8.2702,4737.6721
2017-04-21,44.371,8.4583,4845.4581
2017-04-28,45.8523,8.6641,4985.5593
2017-05-05,45.7709,8.6487,4976.6322
2017-05-12,48.1419,8.9862,5241.3221
2017-05-19,44.7333,8.6206,5450.1406
2017-05-26,46.2724,8.9172,5637.6552
2017-06-02,45.0502,8.6816,5488.4519
2017-06-09,46.2378,8.9105,5634.2802
2017-06-16,45.6854,8.804,5566.9602
2017-06-23,46.7841,9.0158,5700.8392
2017-06-30,46.666,8.993,5685.438
2017-07-07,45.0535,8.6823,5488.9836
2017-07-14,47.604,9.1738,5799.7178
2017-07-21,49.6087,9.5601,6043.9549
2017-07-28,50.762,9.7824,6173.3148
2017-08-04,51.7839,9.9793,6297.582
2017-08-11,51.5799,9.94,6272.7753
2017-08-18,46.3932,9.5295,6560.0689
2017-08-25,46.7369,9.6001,6608.664
2017-09-01,46.865,9.4585,6561.42
2017-09-08,46.3079,9.346,6483.424
2017-09-15,49.0228,9.894,6863.5286
2017-09-22,50.619,10.2161,7087.002
2017-09-29,49.3387,9.9577,6907.7619
2017-10-06,51.8453,10.4636,7258.5228
2017-10-13,51.4353,10.3809,7201.1204
2017-10-20,51.4095,10.3757,7197.5001
2017-10-27,50.9456,10.282,7132.4692
2017-11-03,54.0672,10.7724,7538.4828
2017-11-10,56.604,11.2778,7892.0825
2017-11-17,51.8013,10.8571,8192.9886
2017-11-24,53.537,11.2209,8467.3864
2017-12-01,49.6014,10.396,7844.8676
2017-12-08,50.5392,10.5926,7987.8258
2017-12-15,49.975,10.4743,7898.6625
2017-12-22,52.0415,10.9074,8225.2727
2017-12-29,52.283,10.958,8263.3949
2018-01-05,55.5675,11.6464,8782.4105
2018-01-12,56.6893,11.8816,8959.709
2018-01-19,57.8391,12.1226,9141.4321
2018-01-26,60.2674,12.6315,9525.1926
2018-02-02,57.8969,12.1347,9150.2482
2018-02-09,52.1685,10.934,8244.9092
2018-02-15,57.12,11.9718,9027.457
2018-02-23,57.9831,12.1527,9163.8646
2018-03-02,55.8176,11.6989,8821.612
2018-03-09,57.3061,12.0108,9056.8566
2018-03-16,59.4982,12.4703,9403.2327
2018-03-23,45.9542,10.3933,8507.699
2018-03-29,44.9063,9.9626,8262.0965
2018-04-06,44.5175,9.8763,8190.5364
2018-04-13,44.7735,9.9331,8237.6286
2018-04-20,43.8735,9.7334,8072.0305
2018-04-27,42.7927,9.3833,7836.1598
2018-05-04,42.0122,9.2122,7692.8621
2018-05-11,44.9905,9.8149,8210.028
2018-05-18,38.8859,8.9917,8262.3057
2018-05-25,38.2263,8.8392,8122.1539
2018-06-01,38.1898,8.8307,8114.0508
2018-06-08,39.2717,9.0809,8343.9265
2018-06-15,38.7881,8.969,8241.1724
2018-06-22,37.5948,8.6931,7988.5668
2018-06-29,37.1927,8.6001,7901.8379
2018-07-06,36.508,8.4418,7755.891
2018-07-13,36.0357,8.3326,7655.5484
2018-07-20,35.5241,8.2143,7546.8606
2018-07-27,80.0046,13.9897,7458.8551
2018-08-03,74.7076,13.0634,6954.0585
2018-08-10,79.1886,13.847,7371.1608
2018-08-17,80.5423,12.4768,6714.4716
2018-08-24,48.7091,11.9608,7054.5562
2018-08-31,47.5712,11.6588,6806.3154
2018-09-07,44.6152,10.9344,6383.3461
2018-09-14,46.3917,11.3698,6637.4972
2018-09-21,47.1227,11.5489,6742.0697
2018-09-28,45.4657,11.1428,6505.736
2018-10-05,42.7729,10.4829,6120.4153
2018-10-12,93.4923,14.7894,5728.3959
2018-10-19,90.6585,14.3412,5554.7628
2018-10-26,84.8485,13.4221,5198.9197
2018-11-02,98.3547,15.6537,6003.1055
2018-11-09,91.3006,14.5058,5572.633
2018-11-16,89.5181,14.5404,5765.1732
2018-11-23,64.0308,5.598,5796.8072
2018-11-30,67.5333,5.9042,6113.8145
2018-12-07,67.0003,5.8576,6065.563
2018-12-14,66.6573,5.8276,6034.5094
2018-12-21,66.904,5.8492,6056.845
2018-12-28,65.3641,5.7145,5917.427
2019-01-04,65.1603,5.6967,5872.8372
2019-01-11,68.1618,5.9591,6143.7585
2019-01-18,68.9383,6.027,6213.1134
2019-01-25,70.4852,6.1623,6352.4423
2019-02-01,71.9259,6.2882,6482.2455
2019-02-08,71.8504,6.2816,6475.4351
2019-02-15,70.4947,6.1631,6353.2536
2019-02-22,72.6343,6.3502,6546.0788
2019-03-01,71.3923,6.2416,6433.4483
