date,active_cap,chg_pct,signal,source,zone_type
2026-03-23,186349.4,-2.94,exit,manual,bearish
2026-03-24,190154.4,2.04,exit,manual,bearish
2026-03-25,193470.8,1.74,exit,manual,bearish
2026-03-26,188101.2,-2.78,exit,manual,bearish
2026-03-27,187771.9,-0.18,exit,manual,bearish
2026-03-30,186232.3,-0.82,exit,manual,bearish
2026-03-31,181580.0,-2.5,exit,manual,bearish
2026-04-01,184112.4,1.39,exit,manual,bearish
2026-04-02,179076.2,-2.74,exit,manual,bearish
2026-04-07,173175.2,-0.65,exit,manual,bearish
2026-04-08,183799.0,6.13,entry,manual,bullish
2026-04-09,183185.6,-0.33,entry,manual,bullish
2026-04-10,186570.1,1.85,entry,manual,bullish
2026-04-13,187557.2,0.53,entry,manual,bullish
2026-04-14,191521.9,2.11,entry,manual,bullish
2026-04-15,191378.7,-0.07,entry,manual,bullish
2026-04-16,195227.6,2.01,entry,manual,bullish
2026-04-17,197356.8,1.09,entry,manual,bullish
2026-04-20,200954.1,1.82,entry,,bullish
2026-04-21,201082.8,0.06,entry,,bullish
2026-04-22,205668.8,1.98,entry,,bullish
2026-04-23,205117.9,0.02,entry,,bullish
2026-04-24,204924.3,-0.09,entry,,bullish
2026-04-27,207510.0,1.26,entry,,bullish
2026-04-28,206021.9,-0.72,entry,,bullish
2026-04-29,210190.2,2.02,entry,,bullish
2026-04-30,212999.6,1.34,entry,,bullish
2026-05-06,223319.5,4.85,entry,,bullish
2026-05-07,229806.1,2.9,entry,,bullish
2026-05-08,231888.8,0.91,entry,,bullish
2026-05-11,240907.0,3.89,entry,,bullish
2026-05-12,241855.8,0.39,entry,,bullish
2026-05-13,247893.4,2.5,entry,,bullish
2026-05-14,244054.9,-1.55,entry,,bullish
2026-05-15,243432.5,-0.26,entry,,bullish
